Date,Price,Open,High,Low,Volume,Change
"Oct 31, 2021","61,309.60","61,842.20","62,393.70","60,005.70",50.06K,-0.86%
"Oct 30, 2021","61,840.10","62,245.00","62,338.50","60,786.00",40.51K,-0.65%
"Oct 29, 2021","62,242.80","60,579.90","62,952.20","60,322.20",63.39K,2.74%
"Oct 28, 2021","60,582.50","58,437.20","62,251.30","58,128.10",88.47K,3.67%
"Oct 27, 2021","58,438.10","60,312.50","61,452.90","58,112.60",88.11K,-3.11%
"Oct 26, 2021","60,310.80","63,067.50","63,275.10","59,907.30",57.13K,-4.37%
"Oct 25, 2021","63,067.00","60,864.30","63,694.80","60,655.80",51.06K,3.62%
"Oct 24, 2021","60,866.50","61,308.20","61,469.90","59,523.70",42.67K,-0.73%
"Oct 23, 2021","61,312.50","60,693.20","61,728.70","59,738.30",37.05K,1.03%
"Oct 22, 2021","60,690.30","62,200.80","63,699.70","60,055.70",75.69K,-2.44%
"Oct 21, 2021","62,210.20","66,004.60","66,616.90","62,092.10",105.38K,-5.71%
"Oct 20, 2021","65,979.10","64,276.90","66,967.10","63,543.70",79.87K,2.65%
"Oct 19, 2021","64,278.50","62,030.20","64,454.00","61,451.00",80.16K,3.58%
"Oct 18, 2021","62,056.30","61,525.80","62,623.60","60,026.90",80.15K,0.86%
"Oct 17, 2021","61,527.50","60,865.50","61,651.40","59,143.40",53.39K,1.09%
"Oct 16, 2021","60,861.10","61,669.20","62,329.20","60,161.90",49.93K,-1.32%
"Oct 15, 2021","61,672.50","57,348.20","62,892.80","56,874.80",121.48K,7.54%
"Oct 14, 2021","57,345.80","57,370.40","58,506.50","56,866.80",59.84K,-0.06%
"Oct 13, 2021","57,380.10","56,014.50","57,697.40","54,314.40",73.62K,2.44%
"Oct 12, 2021","56,015.90","57,480.60","57,635.70","54,155.40",74.85K,-2.54%
"Oct 11, 2021","57,477.30","54,686.90","57,814.10","54,457.80",73.84K,5.10%
"Oct 10, 2021","54,687.70","54,942.50","56,432.20","54,100.80",104.43K,-0.46%
"Oct 09, 2021","54,942.50","53,924.10","55,430.80","53,711.70",64.65K,1.91%
"Oct 08, 2021","53,914.70","53,785.50","55,977.90","53,659.30",64.05K,0.24%
"Oct 07, 2021","53,783.90","55,325.20","55,325.60","53,476.40",75.68K,-2.78%
"Oct 06, 2021","55,323.20","51,470.00","55,676.10","50,439.50",116.26K,7.49%
"Oct 05, 2021","51,469.30","49,229.50","51,872.40","49,060.10",76.63K,4.55%
"Oct 04, 2021","49,227.30","48,200.40","49,481.70","46,958.60",66.92K,2.13%
"Oct 03, 2021","48,200.10","47,665.40","49,165.20","47,123.00",42.41K,1.12%
"Oct 02, 2021","47,666.90","48,147.20","48,306.90","47,451.70",39.82K,-1.00%
"Oct 01, 2021","48,146.00","43,824.40","48,435.20","43,292.90",94.66K,9.86%
